,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,Dog_Name,Dog_class,jpg_url,img_num,Dog_Type1,p1_conf,p1_dog,Dog_Type2,p2_conf,p2_dog,Dog_Type3,p3_conf,p3_dog,retweet_count,favorite_count
0,892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,phineas, ,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,orange,9.70%,False,bagel,8.59%,False,banana,7.61%,False,7468.0,35375.0
1,892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,tilly, ,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,chihuahua,32.36%,True,pekinese,9.06%,True,papillon,6.90%,True,5545.0,30612.0
2,891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,archie, ,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,chihuahua,71.60%,True,malamute,7.83%,True,kelpie,3.14%,True,3671.0,23031.0
3,891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,darla, ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper towel,17.03%,False,labrador retriever,16.81%,True,spatula,4.08%,False,7643.0,38666.0
4,891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,franklin, ,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,55.57%,True,english springer,22.58%,True,german short-haired pointer,17.52%,True,8242.0,36946.0
5,891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,none, ,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,chesapeake bay retriever,42.56%,True,irish terrier,11.63%,True,indian elephant,7.69%,False,2758.0,18625.0
6,890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,jax, ,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,appenzeller,34.17%,True,border collie,19.93%,True,ice lolly,19.35%,False,1790.0,10818.0
7,890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,none, ,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,pomeranian,56.61%,True,eskimo dog,17.84%,True,pembroke,7.65%,True,16705.0,59603.0
8,890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,zoey, ,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish terrier,48.76%,True,irish setter,19.31%,True,chesapeake bay retriever,11.82%,True,3813.0,25626.0
9,890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,pembroke,51.13%,True,cardigan,45.10%,True,chihuahua,2.92%,True,6480.0,29249.0
10,890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,koda, ,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,samoyed,95.80%,True,pomeranian,1.39%,True,chow,0.82%,True,6494.0,28195.0
11,889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,bruno, ,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,french bulldog,37.74%,True,labrador retriever,15.13%,True,muzzle,8.30%,False,4412.0,25655.0
12,889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,none,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1.0,pembroke,96.63%,True,cardigan,2.74%,True,basenji,0.46%,True,8852.0,44051.0
13,889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,ted, ,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,french bulldog,99.17%,True,boxer,0.21%,True,staffordshire bullterrier,0.15%,True,3964.0,24781.0
14,889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden retriever,95.34%,True,labrador retriever,1.38%,True,redbone,0.80%,True,1998.0,13941.0
15,889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,oliver, ,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,62.62%,True,borzoi,19.47%,True,saluki,2.74%,True,4713.0,23129.0
16,888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,jim, ,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,golden retriever,71.47%,True,tibetan mastiff,12.02%,True,labrador retriever,10.55%,True,3973.0,26744.0
17,888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,zeke, ,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,golden retriever,46.98%,True,labrador retriever,18.42%,True,english setter,7.35%,True,3745.0,23477.0
18,888554962724278272,2017-07-22 00:23:06,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,ralphus, ,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3.0,siberian husky,70.04%,True,eskimo dog,16.65%,True,malamute,11.14%,True,3061.0,18098.0
19,888078434458587136,2017-07-20 16:49:33,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12,10,gerald, ,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1.0,french bulldog,99.50%,True,pug,0.09%,True,bull mastiff,0.09%,True,3073.0,20000.0
20,887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,jeffrey, ,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1.0,basset,82.17%,True,redbone,8.76%,True,weimaraner,2.62%,True,4781.0,27801.0
21,887517139158093824,2017-07-19 03:39:09,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://twitter.com/dog_rates/status/887517139158093824/video/1,14,10,such, ,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1.0,limousine,13.04%,False,tow truck,2.92%,False,shopping cart,2.63%,False,10427.0,42593.0
22,887473957103951883,2017-07-19 00:47:34,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13,10,canela, ,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2.0,pembroke,80.92%,True,rhodesian ridgeback,5.50%,True,beagle,3.89%,True,15917.0,63025.0
23,887343217045368832,2017-07-18 16:08:03,Twitter for iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,13,10,none, ,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1.0,mexican hairless,33.07%,True,sea lion,27.56%,False,weimaraner,13.42%,True,9324.0,30923.0
24,887101392804085760,2017-07-18 00:07:08,Twitter for iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12,10,none, ,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1.0,samoyed,73.39%,True,eskimo dog,3.50%,True,staffordshire bullterrier,2.97%,True,5277.0,28134.0
25,886983233522544640,2017-07-17 16:17:36,Twitter for iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",13,10,maya, ,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2.0,chihuahua,79.35%,True,toy terrier,14.35%,True,can opener,3.23%,False,6771.0,31957.0
